crash_date,on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1
2021-09-11 00:00:00.0000000,"WHITESTONE EXPRESSWAY",2,0,0,0,0,0,2,0,"Aggressive Driving/Road Rage","Unspecified",4455765,"Sedan"
2022-03-26 00:00:00.0000000,"QUEENSBORO BRIDGE UPPER",1,0,0,0,0,0,1,0,"Pavement Slippery",,4513547,"Sedan"
2023-11-01 00:00:00.0000000,"OCEAN PARKWAY",1,0,0,0,0,0,1,0,"Unspecified","Unspecified",4675373,"Moped"
2022-06-29 00:00:00.0000000,"THROGS NECK BRIDGE",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4541903,"Sedan"
2022-09-21 00:00:00.0000000,"BROOKLYN BRIDGE",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4566131,"Station Wagon/Sport Utility Vehicle"
2023-04-26 00:00:00.0000000,"WEST 54 STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4623759,"Sedan"
2023-11-01 00:00:00.0000000,"HUTCHINSON RIVER PARKWAY",0,0,0,0,0,0,0,0,"Following Too Closely","Driver Inattention/Distraction",4675709,"Sedan"
2023-11-01 00:00:00.0000000,"WEST 35 STREET",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way",,4675769,"Sedan"
2023-04-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified",,4623865,"Sedan"
2021-09-11 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified",,4456314,"Sedan"
2021-12-14 00:00:00.0000000,"SARATOGA AVENUE",0,0,0,0,0,0,0,0,,,4486609,
2021-04-14 00:00:00.0000000,"MAJOR DEEGAN EXPRESSWAY RAMP",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4407458,"Dump"
2021-12-14 00:00:00.0000000,"BROOKLYN QUEENS EXPRESSWAY",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4486555,"Sedan"
2021-12-14 00:00:00.0000000,,2,0,0,0,0,0,2,0,"Unspecified","Unspecified",4486660,"Sedan"
2021-12-14 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Driver Inexperience","Unspecified",4487074,"Sedan"
2021-12-14 00:00:00.0000000,"3 AVENUE",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4486519,"Sedan"
2021-12-13 00:00:00.0000000,"MYRTLE AVENUE",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4486934,"Station Wagon/Sport Utility Vehicle"
2021-12-14 00:00:00.0000000,"SPRINGFIELD BOULEVARD",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",4487127,"Sedan"
2021-12-14 00:00:00.0000000,"broadway",0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified",4486634,"Station Wagon/Sport Utility Vehicle"
2021-12-14 00:00:00.0000000,"BELT PARKWAY",0,0,0,0,0,0,0,0,"Unsafe Speed",,4486564,"Sedan"
2021-12-14 00:00:00.0000000,"NORTH CONDUIT AVENUE",2,0,0,0,0,0,2,0,"Reaction to Uninvolved Vehicle","Unspecified",4486635,"Sedan"
2021-12-14 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4486604,"Tanker"
2021-12-14 00:00:00.0000000,,4,0,0,0,0,0,4,0,"Steering Failure",,4486991,"Sedan"
2021-12-14 00:00:00.0000000,"MEEKER AVENUE",3,0,0,0,0,0,3,0,"Traffic Control Disregarded","Unspecified",4486284,"Station Wagon/Sport Utility Vehicle"
2021-12-11 00:00:00.0000000,"WEST KINGSBRIDGE ROAD",1,0,0,0,0,0,1,0,"Unspecified","Unspecified",4487040,"Station Wagon/Sport Utility Vehicle"
2021-12-14 00:00:00.0000000,"WHITESTONE EXPRESSWAY",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4486537,"Station Wagon/Sport Utility Vehicle"
2021-12-11 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4486905,"Station Wagon/Sport Utility Vehicle"
2021-12-14 00:00:00.0000000,"LONG ISLAND EXPRESSWAY",1,0,0,0,0,0,1,0,"Other Vehicular","Other Vehicular",4487122,"Station Wagon/Sport Utility Vehicle"
2021-12-13 00:00:00.0000000,"82 STREET",0,0,0,0,0,0,0,0,"Unspecified",,4486967,"Sedan"
2021-12-14 00:00:00.0000000,"LEXINGTON AVENUE",1,0,1,0,0,0,0,0,"Unspecified",,4486304,"Station Wagon/Sport Utility Vehicle"
2021-12-13 00:00:00.0000000,"VICTORY BOULEVARD",1,0,0,0,0,0,1,0,"Unspecified","Unspecified",4487001,"Sedan"
2021-12-14 00:00:00.0000000,"EAST 18 STREET",1,0,1,0,0,0,0,0,"Unspecified",,4486516,"Sedan"
2021-12-14 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4486605,"Sedan"
2021-12-14 00:00:00.0000000,"FULTON STREET",1,0,0,0,1,0,0,0,"Unspecified","Unspecified",4487052,"Sedan"
2021-12-14 00:00:00.0000000,"GRAND STREET",1,0,0,0,0,0,1,0,"Passing or Lane Usage Improper","Unspecified",4486556,"Bus"
2021-12-14 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4486875,"Taxi"
2021-12-12 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4486933,"Station Wagon/Sport Utility Vehicle"
2021-12-14 00:00:00.0000000,"EAST 93 STREET",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",4486581,"Van"
2023-11-02 00:00:00.0000000,"35 AVENUE",0,0,0,0,0,0,0,0,"Accelerator Defective",,4675877,"Station Wagon/Sport Utility Vehicle"
2021-04-14 00:00:00.0000000,"EASTCHESTER ROAD",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4407520,"Bus"
2021-12-16 00:00:00.0000000,"KINGSLAND AVENUE",1,0,1,0,0,0,0,0,"Traffic Control Disregarded",,4486960,
2023-04-27 00:00:00.0000000,"WILLIAMSBURG BRIDGE OUTER ROADWA",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",4624078,"Sedan"
2022-09-22 00:00:00.0000000,"123 STREET",1,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4566408,"Sedan"
2023-01-12 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4598234,"Station Wagon/Sport Utility Vehicle"
2022-06-29 00:00:00.0000000,"WILLIAMSBURG BRIDGE OUTER ROADWA",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",4542336,"Motorscooter"
2021-04-15 00:00:00.0000000,"HUTCHINSON RIVER PARKWAY",0,0,0,0,0,0,0,0,"Pavement Slippery",,4407665,"Station Wagon/Sport Utility Vehicle"
2021-07-07 00:00:00.0000000,"THROGS NECK BRIDGE",1,0,0,0,0,0,1,0,"Unsafe Lane Changing","Unspecified",4456591,"Sedan"
2023-04-27 00:00:00.0000000,"PELHAM PARKWAY SOUTH",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4624101,"Sedan"
2022-07-12 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",4545699,"Sedan"
2022-03-23 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",,4512922,"Bike"
2021-07-09 00:00:00.0000000,"ELIOT AVENUE",0,1,0,1,0,0,0,0,"Unspecified",,4456659,"Bus"
2022-04-24 00:00:00.0000000,"STATEN ISLAND EXPRESSWAY",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",4521660,"Station Wagon/Sport Utility Vehicle"
2022-04-24 00:00:00.0000000,"BOSTON ROAD",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4521759,"Station Wagon/Sport Utility Vehicle"
2022-04-22 00:00:00.0000000,"EAST 107 STREET",1,0,1,0,0,0,0,0,"Traffic Control Disregarded",,4522226,"E-Bike"
2022-04-24 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified",,4522015,"Station Wagon/Sport Utility Vehicle"
2022-04-24 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified",4521460,"Sedan"
2022-04-24 00:00:00.0000000,"BOSCOBEL PLACE",0,0,0,0,0,0,0,0,"Alcohol Involvement","Unspecified",4522156,"Taxi"
2022-04-24 00:00:00.0000000,"BRONX RIVER PARKWAY",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4521633,"Sedan"
2022-04-15 00:00:00.0000000,"EAST 162 STREET",1,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4522124,"Station Wagon/Sport Utility Vehicle"
2022-04-24 00:00:00.0000000,"CROSS BRONX EXPY",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4521937,"Sedan"
2022-04-24 00:00:00.0000000,"MAJOR DEEGAN EXPRESSWAY",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4521801,"Sedan"
2022-03-08 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4522285,"Sedan"
2022-04-24 00:00:00.0000000,"WEST 56 STREET",1,0,0,0,1,0,0,0,"View Obstructed/Limited","Unspecified",4521853,"Station Wagon/Sport Utility Vehicle"
2022-04-22 00:00:00.0000000,"AVENUE J",1,0,0,0,0,0,1,0,"Unspecified","Unspecified",4522228,"Sedan"
2022-04-24 00:00:00.0000000,"SAINT MARKS AVENUE",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",4521702,"Station Wagon/Sport Utility Vehicle"
2022-04-24 00:00:00.0000000,"THROOP AVENUE",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified",4522167,"Station Wagon/Sport Utility Vehicle"
2022-04-20 00:00:00.0000000,"HENRY HUDSON PARKWAY",0,0,0,0,0,0,0,0,"Driver Inexperience","Unspecified",4522196,"Sedan"
2022-04-24 00:00:00.0000000,"ROCKAWAY AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4521758,"Sedan"
2022-04-12 00:00:00.0000000,"UTICA AVENUE",1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,4522136,"Station Wagon/Sport Utility Vehicle"
2022-04-24 00:00:00.0000000,"BELT PARKWAY",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",4521469,"Sedan"
2022-04-24 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Aggressive Driving/Road Rage",,4521859,"Sedan"
2022-04-24 00:00:00.0000000,"THOMSON AVENUE",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",4521590,"Sedan"
2022-04-24 00:00:00.0000000,"VANWYCK EXPRESSWAY",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Traffic Control Disregarded",4521902,"Sedan"
2022-04-24 00:00:00.0000000,"21 STREET",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",4521684,"Sedan"
2022-04-24 00:00:00.0000000,"JAMAICA AVENUE",0,0,0,0,0,0,0,0,"Reaction to Uninvolved Vehicle","Unspecified",4521858,"Ambulance"
2022-04-07 00:00:00.0000000,"1 AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Passing or Lane Usage Improper",4522242,"Sedan"
2021-06-29 00:00:00.0000000,"BEACH CHANNEL DRIVE",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4456672,"Station Wagon/Sport Utility Vehicle"
2021-12-09 00:00:00.0000000,"EAST 7 STREET",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Unspecified",4485150,"Bike"
2021-12-09 00:00:00.0000000,"WEST 177 STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4485116,"Station Wagon/Sport Utility Vehicle"
2021-12-09 00:00:00.0000000,"149 AVENUE",1,0,0,0,0,0,1,0,"Alcohol Involvement",,4485026,"Sedan"
2021-12-06 00:00:00.0000000,"AVENUE J",0,0,0,0,0,0,0,0,"Unsafe Speed","Unspecified",4485528,"Sedan"
2021-12-04 00:00:00.0000000,"CROWN STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",4485333,"Sedan"
2021-12-08 00:00:00.0000000,"EAST END AVENUE",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",4485234,"Taxi"
2021-12-09 00:00:00.0000000,"12 AVENUE",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",4485355,"Sedan"
2021-12-01 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unsafe Speed","Unspecified",4485581,"Sedan"
2021-12-10 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4485866,"Sedan"
2021-12-07 00:00:00.0000000,"TAYLOR STREET",0,0,0,0,0,0,0,0,"Steering Failure",,4485192,"Station Wagon/Sport Utility Vehicle"
2021-12-09 00:00:00.0000000,"WEST SHORE EXPRESSWAY",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4485214,"Sedan"
2021-12-07 00:00:00.0000000,"FLUSHING AVENUE",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4485437,
2021-12-05 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified",,4485408,"Sedan"
2021-12-08 00:00:00.0000000,,1,0,0,0,1,0,0,0,"Following Too Closely","Reaction to Uninvolved Vehicle",4484852,"Station Wagon/Sport Utility Vehicle"
2021-12-08 00:00:00.0000000,,1,0,0,0,1,0,0,0,"Passing or Lane Usage Improper","Unspecified",4485542,"Box Truck"
2021-12-10 00:00:00.0000000,"FLATBUSH AVENUE",0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified",4485170,"Garbage or Refuse"
2021-12-08 00:00:00.0000000,"OCEAN PARKWAY",4,0,0,0,0,0,4,0,"Unsafe Speed","Unspecified",4485523,"Taxi"
2021-12-08 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Pavement Slippery",,4484906,"Sedan"
2021-12-08 00:00:00.0000000,"MAJOR DEEGAN EXPRESSWAY",0,0,0,0,0,0,0,0,"Unspecified",,4485036,"Sedan"
2021-12-07 00:00:00.0000000,"CARROLL STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4485772,"Sedan"
2021-12-08 00:00:00.0000000,"23 STREET",0,0,0,0,0,0,0,0,"View Obstructed/Limited",,4485565,"Sedan"
2021-12-08 00:00:00.0000000,"AVENUE Y",0,0,0,0,0,0,0,0,"Passing Too Closely",,4484836,"Sedan"
2021-12-10 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",4485340,"Station Wagon/Sport Utility Vehicle"
2021-12-10 00:00:00.0000000,"SCHENECTADY AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4485706,"Station Wagon/Sport Utility Vehicle"
2021-12-09 00:00:00.0000000,"47 ROAD",1,0,1,0,0,0,0,0,"Unspecified",,4485384,"Sedan"
2021-12-08 00:00:00.0000000,"HENRY HUDSON PARKWAY",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4484799,"Sedan"
2021-12-09 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Illnes",,4485077,"Sedan"
2021-12-09 00:00:00.0000000,"KINGS HIGHWAY",2,0,0,0,0,0,2,0,"Traffic Control Disregarded","Traffic Control Disregarded",4485090,"Sedan"
2022-03-26 00:00:00.0000000,"CORSON AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513697,"Sedan"
2022-03-26 00:00:00.0000000,"WEST 101 STREET",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified",4513935,"Sedan"
2022-03-26 00:00:00.0000000,"QUEENS BOULEVARD",1,0,0,0,0,0,1,0,"Lost Consciousness","Unspecified",4513794,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"115 AVENUE",1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",4514267,"Station Wagon/Sport Utility Vehicle"
2022-03-21 00:00:00.0000000,,1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",4514237,"Motorcycle"
2022-03-26 00:00:00.0000000,"131 STREET",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",4513470,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513751,"Sedan"
